unique_id,filename,source,corpus,date,word_count,path
FED_0428,FED_0428-2023-10-17.txt,FED,FED,2023-10-17,3532,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0428-2023-10-17.txt
FED_0139,FED_0139-2023-12-01.txt,FED,FED,2023-12-01,3804,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0139-2023-12-01.txt
FED_0026,FED_0026-2021-01-13.txt,FED,FED,2021-01-13,3726,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0026-2021-01-13.txt
FED_0099,FED_0099-2023-11-14.txt,FED,FED,2023-11-14,3568,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0099-2023-11-14.txt
FED_0307,FED_0307-2022-11-30.txt,FED,FED,2022-11-30,2975,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0307-2022-11-30.txt
FED_0206,FED_0206-2021-02-22.txt,FED,FED,2021-02-22,960,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0206-2021-02-22.txt
FED_0467,FED_0467-2025-03-07.txt,FED,FED,2025-03-07,968,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0467-2025-03-07.txt
FED_0155,FED_0155-2025-10-16.txt,FED,FED,2025-10-16,3174,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0155-2025-10-16.txt
FED_0118,FED_0118-2022-11-17.txt,FED,FED,2022-11-17,1333,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0118-2022-11-17.txt
FED_0249,FED_0249-2025-02-25.txt,FED,FED,2025-02-25,4458,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0249-2025-02-25.txt
FED_0188,FED_0188-2023-03-03.txt,FED,FED,2023-03-03,1158,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0188-2023-03-03.txt
FED_0169,FED_0169-2023-05-15.txt,FED,FED,2023-05-15,2009,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0169-2023-05-15.txt
FED_0017,FED_0017-2025-06-23.txt,FED,FED,2025-06-23,590,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0017-2025-06-23.txt
FED_0172,FED_0172-2021-11-19.txt,FED,FED,2021-11-19,3104,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0172-2021-11-19.txt
FED_0203,FED_0203-2025-10-15.txt,FED,FED,2025-10-15,2440,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0203-2025-10-15.txt
FED_0143,FED_0143-2022-10-12.txt,FED,FED,2022-10-12,2262,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0143-2022-10-12.txt
FED_0440,FED_0440-2021-05-03.txt,FED,FED,2021-05-03,1294,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0440-2021-05-03.txt
FED_0002,FED_0002-2024-07-16.txt,FED,FED,2024-07-16,4669,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0002-2024-07-16.txt
FED_0455,FED_0455-2025-06-02.txt,FED,FED,2025-06-02,1270,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0455-2025-06-02.txt
FED_0186,FED_0186-2023-11-07.txt,FED,FED,2023-11-07,4922,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0186-2023-11-07.txt
FED_0111,FED_0111-2021-03-30.txt,FED,FED,2021-03-30,2884,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0111-2021-03-30.txt
FED_0426,FED_0426-2023-09-26.txt,FED,FED,2023-09-26,947,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0426-2023-09-26.txt
FED_0409,FED_0409-2024-06-25.txt,FED,FED,2024-06-25,4951,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0409-2024-06-25.txt
FED_0159,FED_0159-2025-08-01.txt,FED,FED,2025-08-01,595,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0159-2025-08-01.txt
